MW,LogP,TPSA,HBD,HBA,RotBonds,RingCount,AromaticRings,HeavyAtoms,FractionCSP3,NumF,NumCl,NumBr,NumN,NumO,NumS,NumSi,NumP,HasCu,HasZn,HasAg,HasTi,ChargeDensity,HydrophilicLipophilicBalance,SurfaceEnergyEstimate,ElasticModulusEstimate,RoughnessPotential,CrosslinkPotential,SMILES,material_class,material_name,antifouling_efficiency_pct,fouling_release_pct,antibacterial_rate_pct,diatom_removal_pct,is_original,SE_x_EModulus,LogP_x_TPSA,F_x_Si,ChargeDensity_x_HLB,MW_x_LogP,HBD_x_HBA,RotBonds_x_MW,RingFrac,AromaFrac,FracF,FracSi,PolarFrac,SE_minus_EMod,Kendall_index
236.53599999999997,3.391200000000002,18.46,0.0,2.0,4.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8618053911455346,26.913199999999996,0.7199999999999998,0.065,0.15384615384615385,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,silicone,PDMS三聚体,68.0,80.0,40.0,72.0,True,19.37750399999999,62.60155200000004,0.0,0.0,802.1408832000004,0.0,0.016910745087428555,0.0,0.0,0.0,0.23076923076923078,0.15384615384615385,23.3132,11.884548009577044
384.8460000000001,4.828000000000005,36.92,0.0,4.0,8.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.517874682340468,19.757999999999992,-0.16000000000000014,0.105,0.19047619047619047,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,silicone,PDMS五聚体,72.0,85.0,42.0,76.0,True,-3.1612800000000014,178.24976000000018,0.0,0.0,1858.0364880000025,0.0,0.02078753579353819,0.0,0.0,0.0,0.23809523809523808,0.19047619047619047,20.557999999999993,3.6971876235074057
278.61699999999996,4.561500000000004,18.46,0.0,2.0,7.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4295717777450774,25.157749999999993,0.6599999999999997,0.08,0.125,C[Si](C)(C)O[Si](C)(C)O[Si](C)(CCCC)C,silicone,PDMS+甲基硅油,78.0,90.0,46.0,80.0,True,16.60411499999999,84.20529000000008,0.0,0.0,1270.911445500001,0.0,0.025124095083932426,0.0,0.0,0.0,0.1875,0.125,21.857749999999996,10.723483763350234
334.72500000000014,6.121900000000007,18.46,0.0,2.0,11.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022316827246246,22.81714999999999,0.5799999999999998,0.1,0.1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(CCCCCCCC)C,silicone,PDMS+辛基硅油,80.0,91.0,48.0,82.0,True,13.233946999999992,113.01027400000014,0.0,0.0,2049.152977500003,0.0,0.03286279781910522,0.0,0.0,0.0,0.15,0.1,19.917149999999992,9.313881298500473
224.452,2.9502000000000015,9.23,0.0,1.0,3.0,1.0,1.0,14.0,0.45454545454545453,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5079393366955967,30.0747,1.5399999999999998,0.17,0.07142857142857142,C[Si](C)(C)O[Si](C)(c1ccccc1)C,silicone,PDMS+苯基硅油,80.0,91.0,46.0,83.0,True,46.315037999999994,27.230346000000015,0.0,0.0,662.1782904000004,0.0,0.013365886692923209,0.07142857142857142,1.0,0.0,0.14285714285714285,0.07142857142857142,22.3747,32.29242443097878
244.40499999999992,3.9954000000000036,9.23,0.0,1.0,4.0,0.0,0.0,14.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3848325525255218,21.006899999999995,1.12,0.07,0.07142857142857142,C[Si](C)(C)O[Si](C)(CCC(F)(F)F)C,silicone,PDMS+三氟丙基,85.0,92.0,55.0,88.0,True,23.527727999999996,36.877542000000034,6.0,0.0,976.4957370000005,0.0,0.016366277285652917,0.0,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,15.406899999999993,16.641059906502527
294.4119999999999,4.630700000000004,9.23,0.0,1.0,5.0,0.0,0.0,17.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1496134668423845,15.053949999999995,1.1,0.085,0.058823529411764705,C[Si](C)(C)O[Si](C)(CCC(F)(F)C(F)(F)F)C,silicone,PDMS+全氟己基,88.0,94.0,58.0,90.0,True,16.559344999999997,42.74136100000003,10.0,0.0,1363.3336484000006,0.0,0.01698300341018709,0.0,0.0,0.29411764705882354,0.11764705882352941,0.058823529411764705,9.553949999999995,13.76655374553806
316.36500000000007,4.4151000000000025,9.23,0.0,1.0,4.0,0.0,0.0,18.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0698402162059646,10.377349999999996,1.12,0.09,0.05555555555555555,FC(F)(F)C(F)(F)C(F)(F)[Si](C)(C)O[Si](C)(C)C,silicone,氟硅嵌段共聚物,86.0,93.0,56.0,89.0,True,11.622631999999998,40.75137300000002,14.0,0.0,1396.783111500001,0.0,0.012643623662541683,0.0,0.0,0.3888888888888889,0.1111111111111111,0.05555555555555555,4.777349999999996,11.696158158069823
280.513,2.0685,47.92,1.0,4.0,10.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.904728123117289,32.89725,1.0,0.085,0.23529411764705882,C[Si](C)(CCOCCOCCO)O[Si](C)(C)C,silicone,PDMS-g-PEG200,82.0,88.0,65.0,84.0,True,32.89725,99.12252,0.0,0.0,580.2411404999999,4.0,0.03564897170541116,0.0,0.0,0.0,0.11764705882352941,0.23529411764705882,27.89725,18.137599069336602
368.619,2.1016999999999992,66.38000000000001,1.0,6.0,16.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.568785114169373,33.84745,0.8799999999999999,0.115,0.2608695652173913,C[Si](C)(CCOCCOCCOCCOCCO)O[Si](C)(C)C,silicone,PDMS-g-PEG400,84.0,89.0,68.0,86.0,True,29.785756,139.51084599999996,0.0,0.0,774.7265522999998,6.0,0.04340525040760242,0.0,0.0,0.0,0.08695652173913043,0.2608695652173913,29.447450000000003,16.023706357120236
