MW,LogP,TPSA,HBD,HBA,RotBonds,RingCount,AromaticRings,HeavyAtoms,FractionCSP3,NumF,NumCl,NumBr,NumN,NumO,NumS,NumSi,NumP,HasCu,HasZn,HasAg,HasTi,ChargeDensity,HydrophilicLipophilicBalance,SurfaceEnergyEstimate,ElasticModulusEstimate,RoughnessPotential,CrosslinkPotential,SMILES,material_class,material_name,antifouling_efficiency_pct,fouling_release_pct,antibacterial_rate_pct,diatom_removal_pct,is_original
236.536,3.391200000000002,18.46,0.0,2.0,4.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8618053911455346,26.9132,0.7199999999999999,0.065,0.1538461538461538,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,silicone,PDMS低聚体(MW~300),68.0,80.0,40.0,72.0,True
384.8460000000001,4.828000000000005,36.92,0.0,4.0,8.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.517874682340468,19.757999999999992,-0.16,0.105,0.1904761904761904,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,silicone,PDMS中聚体(MW~500),72.0,85.0,42.0,76.0,True
278.617,4.561500000000004,18.46,0.0,2.0,7.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4295717777450774,25.157749999999997,0.6599999999999998,0.08,0.125,C[Si](C)(C)O[Si](C)(C)O[Si](C)(CCCC)C,silicone,PDMS+甲基硅油,78.0,90.0,46.0,80.0,True
334.72500000000014,6.121900000000007,18.46,0.0,2.0,11.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022316827246246,22.81714999999999,0.5799999999999998,0.1,0.1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(CCCCCCCC)C,silicone,PDMS+辛基硅油,80.0,91.0,48.0,82.0,True
224.452,2.950200000000001,9.23,0.0,1.0,3.0,1.0,1.0,14.0,0.4545454545454545,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5079393366955969,30.0747,1.5399999999999998,0.17,0.0714285714285714,C[Si](C)(C)O[Si](C)(c1ccccc1)C,silicone,PDMS+苯基硅油,80.0,91.0,46.0,83.0,True
244.40499999999992,3.995400000000004,9.23,0.0,1.0,4.0,0.0,0.0,14.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3848325525255218,21.006899999999995,1.12,0.07,0.0714285714285714,C[Si](C)(C)O[Si](C)(CCC(F)(F)F)C,silicone,PDMS+三氟丙基改性,85.0,92.0,55.0,88.0,True
294.4119999999999,4.630700000000004,9.23,0.0,1.0,5.0,0.0,0.0,17.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1496134668423843,15.053949999999997,1.1,0.085,0.0588235294117647,C[Si](C)(C)O[Si](C)(CCC(F)(F)C(F)(F)F)C,silicone,PDMS+全氟己基改性,88.0,94.0,58.0,90.0,True
316.36500000000007,4.4151000000000025,9.23,0.0,1.0,4.0,0.0,0.0,18.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0698402162059646,10.377349999999996,1.12,0.09,0.0555555555555555,FC(F)(F)C(F)(F)C(F)(F)[Si](C)(C)O[Si](C)(C)C,silicone,氟硅嵌段共聚物,86.0,93.0,56.0,89.0,True
280.513,2.0685,47.92,1.0,4.0,10.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.904728123117289,32.89725,1.0,0.085,0.2352941176470588,C[Si](C)(CCOCCOCCO)O[Si](C)(C)C,silicone,PDMS-g-PEG200,82.0,88.0,65.0,84.0,True
368.619,2.1016999999999992,66.38000000000001,1.0,6.0,16.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.568785114169373,33.84745,0.8799999999999999,0.115,0.2608695652173913,C[Si](C)(CCOCCOCCOCCOCCO)O[Si](C)(C)C,silicone,PDMS-g-PEG400,84.0,89.0,68.0,86.0,True
330.5930000000002,2.789600000000001,79.17999999999999,4.0,3.0,14.0,0.0,0.0,22.0,0.9375,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.834827113701739,36.5156,1.32,0.11,0.2272727272727272,C[Si](C)(C)NCCCCCCNC(=O)NCCCCCCN,silicone,PDMS-PUa自修复涂层,80.0,88.0,60.0,85.0,True
350.5640000000001,3.0939000000000005,96.89,3.0,4.0,10.0,0.0,0.0,22.0,0.8461538461538461,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.714266153969031,33.45915,1.0,0.11,0.3181818181818182,C[Si](C)(C)O[Si](C)(C)OC(=O)NCCCCCCNC(=O)O,silicone,硅氧烷-聚氨酯,75.0,82.0,50.0,76.0,True
222.465,2.0544,43.370000000000005,0.0,3.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705189580383432,29.4184,0.7599999999999998,0.06,0.25,C[Si](C)(C)O[Si](C)(C)C.[Si](=O)(=O),silicone,PDMS/SiO2纳米复合,76.0,86.0,52.0,80.0,True
227.771,2.670300000000001,9.23,0.0,1.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4859661677737732,30.49455,1.16,0.35,0.1,C[Si](C)(C)O[Si](C)(C)C.[Zn],silicone,PDMS/ZnO纳米复合,78.0,84.0,72.0,80.0,True
288.03099999999995,4.0169,0.0,0.0,0.0,2.0,0.0,0.0,17.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.96,0.085,0.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,fluoropolymer,全氟戊烷,70.0,75.0,35.0,68.0,True
320.941,4.5555,0.0,0.0,0.0,2.0,0.0,0.0,17.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.96,0.085,0.0,FC(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)F,fluoropolymer,PCTFE类,72.0,78.0,38.0,70.0,True
100.014,1.991,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0135,2.0,0.03,0.0,FC(F)=C(F)F,fluoropolymer,PTFE单体单元,65.0,70.0,32.0,62.0,True
142.07600000000002,1.4135,37.3,1.0,1.0,2.0,0.0,0.0,9.0,0.75,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.029702412793151,31.37975,1.96,0.045,0.2222222222222222,OC(=O)CCC(F)(F)F,fluoropolymer,含氟丙烯酸酯单体,82.0,88.0,55.0,84.0,True
214.036,1.9039,37.3,1.0,1.0,2.0,0.0,0.0,13.0,0.75,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.338690687547889,20.64415,1.96,0.065,0.1538461538461538,OC(=O)C(F)(F)C(F)(F)C(F)(F)F,fluoropolymer,全氟丙烯酸酯,84.0,90.0,58.0,86.0,True
256.117,2.9301000000000013,37.3,1.0,1.0,4.0,0.0,0.0,16.0,0.8571428571428571,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.790131072908085,19.10485,1.92,0.08,0.125,OC(=O)C(C)CC(F)(F)C(F)(F)C(F)(F)F,fluoropolymer,含氟甲基丙烯酸酯,86.0,91.0,56.0,87.0,True
254.154,2.9678000000000013,37.3,1.0,1.0,3.0,1.0,1.0,17.0,0.3,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8116811067305645,24.0483,2.34,0.185,0.1176470588235294,FC(F)(F)C(F)(F)c1ccc(CC(=O)O)cc1,fluoropolymer,含氟芳香聚氨酯前体,83.0,89.0,52.0,85.0,True
325.40200000000004,3.7477000000000023,46.53,1.0,2.0,4.0,0.0,0.0,19.0,0.8888888888888888,5.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2361817075494304,17.378449999999994,1.12,0.095,0.1578947368421052,OC(=O)CC(F)(F)C(F)(F)F.[Si](C)(C)O[Si](C)(C)C,fluoropolymer,氟硅共聚物,88.0,94.0,62.0,90.0,True
438.052,5.922800000000002,0.0,0.0,0.0,5.0,0.0,0.0,26.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.9,0.13,0.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,fluoropolymer,全氟辛基链,74.0,78.0,40.0,72.0,True
140.113,1.5239,37.3,1.0,1.0,1.0,1.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.100169149186727,36.21415,2.38,0.15,0.2,OC(=O)c1ccc(F)cc1,fluoropolymer,对氟苯甲酸酯,78.0,84.0,50.0,80.0,True
